DEN1_BURMA_2005_61117 DEN1_CAMBODIA_2003_GENBANKGQ868619 DEN1_PERU_2000_IQT_6152 DEN1_PUERTORICO_2006_BID_V852 DEN1_VIETNAM_2008_BID_V1937 DEN2_CAMBODIA_2009_D2T0601085_KH09_KSP DEN2_MALAYSIA_2008_DKD811 DEN2_NICARAGUA_2006_BID_V571 DEN2_TONGA_1974_NIHVACCINE DEN2_VIETNAM_2006_BID_V735 DEN3_BURMA_2008_80931 DEN3_CAMBODIA_2011_V0907330 DEN3_FIJI_1992__ DEN3_PUERTORICO_2006_429965 DEN3_VIETNAM_2007_BID_V1817 DEN4_CAMBODIA_2010_U0811386 DEN4_CAMBODIA_2011_V0624301 DEN4_INDONESIA_1973_M30153_P5 DEN4_NICARAGUA_1999_703 DEN4_PUERTORICO_1999_BID_V2446 DEN1_NAURU_1974_NIHVACCINE DEN2_VIETNAM_2003_AC21 DEN2_VIETNAM_2003_DF_670 DEN2_NICARAGUA_2005_BID_V533 DEN2_PERU_1996_IQT2913 DEN3_VIETNAM_2006_BID_V1329 DEN1_BOLIVIA_2010_FSB_3363 DEN1_VENEZUELA_2000_OBT_1298 DEN2_VIETNAM_2003_AC21_2 DEN2_SENEGAL_2003_SENDAK_HD_0674 DEN2_VIETNAM_2006_32_135_2 DEN3_NICARAGUA_2009_608 DEN3_PUERTORICO_1963_PRS_228762 DEN4_MALAYSIA_1973_P73_1120_SYLVATIC DEN4_BURMA_2008_81087 DEN4_BRAZIL_2012_BR_12
DENV3/THAILAND/2013/00910/13 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 82 313 48 157 72 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2014/00146/14 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 165 560 65 312 81 29 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2014/00560/14 <20 <20 <20 <20 <20 <20 <20 <20 <20 25 106 659 54 298 174 <20 22 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2014/00654/14 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 177 548 41 364 137 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/THAILAND/2014/00739/14 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 67 358 21 288 68 <20 <20 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV3/VIETNAM/2006/BID-V1329 <10 17 100 21 12 12 19 <10 12 69 110 163 104 85 144 29 11 19 <10 30 * * * * * * * * * * * * * * * *
DENV3/VIETNAM/2007/BID-V1817 35 <22 <22 37 <22 <22 28 30 <22 41 98 142 94 283 261 26 <22 <22 <22 24 24 <22 <22 <22 <22 203 <22 <22 <22 <22 30 54 <22 24 <22 24
DENV4/BRAZIL/2012/BR-12 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 22 <20 39 39 54 56 58 * * * * * * * * * * * * * * * *
DENV4/BRAZIL/2012/BR-2 <10 <10 <10 <10 <10 <10 <10 <10 <10 <10 <10 <10 <10 <10 <10 <10 13 19 <10 38 * * * * * * * * * * * * * * * *
DENV4/BRAZIL/2012/BR-23 22 22 47 36 10 15 28 <10 10 18 19 21 20 57 14 32 65 48 72 103 * * * * * * * * * * * * * * * *
DENV4/CAMBODIA/2009/D4T0615158_KH09_KCH <20 26 44 21 51 31 <20 20 <20 32 48 74 51 40 39 421 133 102 <20 50 * * * * * * * * * * * * * * * *
DENV4/CAMBODIA/2010/U0811386 12 34 97 26 30 34 <10 <10 <10 33 71 32 31 55 27 387 253 77 11 30 * * * * * * * * * * * * * * * *
DENV4/CAMBODIA/2011/V0624301 30 <10 17 48 <10 24 50 <10 18 34 24 33 26 24 21 126 141 26 16 26 * * * * * * * * * * * * * * * *
DENV4/DOMINICA/1981/42A <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 57 33 96 30 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 35
DENV4/INDONESIA/1973/M30153-AC36 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 35 50 48 146 52 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 24 24
DENV4/INDONESIA/1978/S1228 * * * 28 <22 * <22 <22 <22 24 * * 26 * 33 * * 54 * 76 <22 33 26 22 <22 28 * * * * * * * * * *
DENV4/MALAYSIA/1973/P73-1120 <22 <22 <22 24 <22 <22 * <22 <22 * <22 <22 26 <22 <22 35 24 <22 39 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22
DENV4/NICARAGUA/1999/703 * <22 * <22 <22 <22 <22 <22 <22 <22 * <22 <22 * <22 <22 26 28 59 33 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 30
DENV4/PUERTORICO/1998/347751 <22 <22 <22 22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 28 48 91 59 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 <22 44
DENV4/PUERTORICO/1999/BID-V2446 <10 <10 19 11 <10 <10 <10 <10 <10 <10 <10 <10 <10 <10 <10 20 <10 31 <10 40 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1985/D85-052 23 26 87 17 13 11 10 <10 <10 24 20 22 32 20 12 151 91 32 32 88 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1994/00329/94 23 <20 60 28 26 <20 21 31 <20 44 <20 34 54 24 26 357 85 46 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1994/00615/94 39 34 69 <20 <20 71 <20 <20 <20 32 55 46 31 45 27 529 148 75 26 70 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1995/00036/95 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 22 <20 <20 <20 <20 130 93 22 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1995/00241/95 81 18 217 57 37 71 68 36 18 109 60 79 99 87 59 200 60 32 19 51 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1995/00425/95 32 28 42 25 14 50 9 15 7 17 14 50 25 15 18 130 58 23 33 36 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1995/00458/95 19 23 139 61 28 48 44 24 18 86 29 37 58 90 73 281 126 43 15 45 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1995/01569/95 82 16 101 17 50 67 27 18 5 55 60 41 44 64 26 216 180 41 60 34 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1996/01129/96 21 23 29 <20 28 28 <20 <20 <20 39 49 22 60 <20 24 196 189 33 31 38 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1996/01626/96 29 22 45 26 30 39 23 <8 12 40 34 62 19 34 24 107 73 33 24 <8 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1997/00049/97 39 56 65 <20 59 44 <20 35 <20 53 40 43 40 54 38 166 128 33 27 36 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1997/02739/97 79 16 147 119 26 93 17 11 68 34 36 84 40 28 24 168 69 63 27 20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1998/04634/98 32 21 45 6 25 24 10 18 5 62 36 45 18 39 28 119 60 32 16 21 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1998/04786/98 66 45 89 66 15 58 62 13 37 79 85 100 59 59 59 330 115 58 39 30 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1998/06181/98 60 15 140 28 26 57 16 40 16 32 44 53 33 58 23 195 86 35 30 30 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1998/06523/98 71 16 182 83 155 101 61 26 24 160 58 85 103 115 66 163 70 67 77 61 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1998/06564/98 59 16 206 66 17 50 51 23 36 122 41 43 66 34 53 221 110 42 42 54 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1999/04390/99 <20 34 <20 <20 <20 21 <20 <20 <20 49 25 40 36 37 <20 308 68 26 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/1999/05538/99 36 <20 <20 33 <20 <20 <20 <20 <20 <20 <20 33 <20 <20 <20 135 73 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2000/02021/00 <10 <10 <10 <10 <10 13 <10 <10 <10 <10 <10 <10 <10 <10 28 47 41 33 <10 <10 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2000/02143/00 40 20 83 29 74 32 18 17 17 126 45 26 17 17 33 198 58 26 19 49 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2000/05496/00 84 30 77 48 27 59 <10 23 <10 46 31 60 43 40 53 99 97 85 74 257 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2000/05997/00 58 30 103 84 50 102 29 52 42 105 45 109 44 46 37 291 131 37 38 44 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2001/00103/01 49 20 151 53 47 75 30 25 36 43 45 88 62 89 62 217 130 42 77 56 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2001/00886/01 23 <20 22 83 <20 <20 58 26 28 20 22 68 <20 26 24 64 41 30 36 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2001/04094/01 39 <20 <20 38 <20 <20 20 <20 <20 <20 26 37 <20 <20 <20 111 45 <20 39 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2001/04134/01 19 15 147 17 13 28 11 7 8 20 18 29 8 19 13 117 102 17 39 20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2001/05386/01 <20 <20 22 <20 <20 <20 <20 <20 <20 25 39 28 <20 <20 27 75 40 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2001/06019/01 50 23 127 58 68 64 64 24 35 115 35 65 34 34 55 359 79 58 68 95 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2001/06949/01 53 19 201 56 42 56 48 31 24 56 44 48 74 101 46 325 202 56 54 53 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2002/01222/02 <8 11 35 <8 19 24 <8 16 <8 26 23 <8 29 21 21 111 23 14 <8 <8 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2002/03060/02 24 11 91 20 21 20 16 19 13 35 32 33 37 34 24 118 82 27 21 37 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2002/03096/02 31 16 134 60 25 23 45 27 35 95 34 32 90 35 39 282 159 35 38 37 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2002/03113/02 23 22 175 85 29 50 45 32 61 56 52 35 34 29 40 275 99 76 31 45 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2002/03169/02 107 45 336 86 76 118 89 76 32 176 125 131 168 84 136 775 197 82 54 57 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2003/02207/03 <20 45 74 <20 <20 <20 <20 <20 <20 27 <20 41 40 20 <20 229 68 <20 <20 29 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2003/02377/03 118 33 244 <20 70 78 <20 22 <20 123 66 58 70 21 79 192 168 93 41 121 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2004/00217/04 45 18 191 121 82 93 79 45 47 98 63 83 73 122 76 372 306 34 103 40 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2004/00624/04 58 37 237 48 54 63 26 48 38 74 51 66 67 88 76 280 118 36 53 74 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2004/00965/04 55 22 119 100 58 50 157 18 65 150 35 53 116 19 85 223 169 69 42 17 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2004/01315/04 115 52 159 106 40 109 37 37 77 211 53 83 81 98 66 288 156 45 54 66 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2004/01369/04 78 21 89 26 29 47 17 27 24 74 34 57 37 50 37 188 104 34 25 57 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2004/01544/04 49 <20 <20 151 <20 <20 35 20 <20 24 35 51 <20 32 <20 438 101 <20 32 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2005/00201/05 40 28 91 30 29 32 70 24 <20 70 39 54 26 85 110 385 466 101 58 45 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2006/00047/06 271 95 135 159 47 150 61 27 68 198 108 211 45 62 82 237 291 68 83 69 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2006/00189/06 81 21 138 113 108 72 106 145 64 265 46 40 79 72 75 235 250 32 59 52 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2006/00356/06 24 9 53 8 19 22 17 11 7 26 19 43 21 16 27 138 59 19 19 16 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2006/00533/06 89 53 229 124 48 85 96 37 82 111 102 99 94 70 79 245 202 109 63 59 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2006/00578/06 42 48 45 28 40 22 40 29 31 72 39 37 43 35 69 115 75 36 42 57 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2006/00617/06 50 28 194 69 36 55 29 26 31 126 60 111 42 59 40 301 189 43 53 56 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2006/01881/06 <20 <20 <20 <20 <20 <20 <20 <20 <20 33 <20 26 23 <20 28 115 73 35 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2006/02190/06 60 34 138 49 23 75 36 41 37 118 37 42 43 57 51 141 127 48 14 56 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2006/02540/06 <20 23 24 <20 <20 52 23 31 <20 70 27 52 32 25 58 173 90 43 <20 25 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2007/00119/07 48 48 80 <20 <20 64 <20 <20 <20 31 21 59 48 39 124 152 144 69 28 59 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2007/00504/07 44 <20 27 <20 25 33 <20 <20 <20 77 <20 39 <20 23 40 100 156 24 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2007/00694/07 52 38 97 <20 33 33 26 39 <20 158 35 <20 136 <20 88 233 79 49 <20 101 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2007/01101/07 <20 <20 <20 <20 40 34 <20 <20 <20 31 52 32 <20 50 <20 209 264 38 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2007/01118/07 93 38 106 26 35 57 41 <20 <20 115 71 60 53 47 72 189 177 44 53 47 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2007/01391/07 68 59 109 <20 <20 79 <20 26 <20 135 48 89 33 48 92 243 157 81 23 49 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2007/01840/07 50 <20 68 47 <20 28 <20 <20 <20 56 48 58 <20 31 <20 198 117 28 28 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2007/01991/07 47 <20 32 27 33 <20 <20 22 <20 45 40 36 30 <20 26 144 116 32 <20 22 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2007/01993/07 178 34 289 108 44 212 109 64 76 139 69 241 89 87 104 486 193 109 93 229 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2007/02392/07 45 <20 127 121 24 <20 26 <20 <20 20 35 58 <20 42 <20 233 138 47 40 24 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2008/00274/08 75 33 95 56 31 42 25 <20 <20 37 67 71 25 36 53 283 246 75 64 54 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2008/00471/08 25 <20 41 <20 <20 <20 <20 <20 <20 44 32 27 46 24 <20 106 88 36 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2008/01380/08 55 <20 82 <20 28 58 53 <20 <20 52 30 101 52 <20 40 496 301 88 <20 81 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2008/01387/08 56 40 344 59 44 79 64 34 39 82 51 50 179 87 49 540 188 65 47 89 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2008/02023/08 35 22 143 24 42 33 35 <20 <20 53 35 41 <20 22 29 171 151 33 <20 25 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2009/00781/09 72 111 213 22 67 108 23 <20 <20 64 88 101 50 50 49 375 272 72 <20 57 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2009/01432/09 22 <20 27 41 33 <20 42 <20 <20 61 20 36 <20 27 22 243 148 26 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2009/01559/09 25 <20 23 20 <20 22 <20 <20 <20 <20 <20 <20 <20 <20 <20 84 38 22 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2010/00249/10 30 <20 66 <20 <20 <20 <20 25 <20 42 <20 <20 31 <20 33 162 92 21 <20 32 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2010/00283/10 <20 <20 140 <20 <20 <20 <20 <20 <20 <20 32 35 <20 <20 <20 227 62 35 24 41 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2010/00780/10 61 <20 22 64 39 <20 <20 <20 <20 48 <20 48 <20 <20 44 154 58 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2010/01270/10 29 30 <20 <20 <20 25 <20 <20 <20 <20 22 33 <20 22 <20 57 45 32 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2010/01513/10 41 31 61 94 40 70 <20 <20 <20 <20 44 50 28 <20 <20 218 121 28 44 22 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2010/01677/10 <20 <20 21 <20 <20 <20 <20 <20 <20 21 <20 33 <20 <20 <20 100 59 21 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2011/00251/11 23 <20 38 <20 <20 <20 <20 <20 <20 <20 28 <20 <20 <20 <20 124 78 33 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2011/00257/11 <20 21 24 <20 <20 <20 <20 <20 <20 <20 <20 <20 <20 24 <20 57 65 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2011/00369/11 38 35 53 49 26 41 29 <20 <20 41 48 48 27 58 34 157 108 34 24 27 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2011/00477/11 34 23 33 29 <20 <20 <20 <20 <20 46 62 33 38 29 29 128 101 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2012/00112/12 35 22 75 <20 <20 50 <20 <20 <20 41 28 58 <20 38 <20 155 84 23 <20 24 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2012/00637/12 42 26 57 <20 <20 <20 <20 <20 <20 40 <20 <20 <20 28 <20 93 36 29 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2012/01104/12 31 <20 21 71 21 26 35 <20 <20 63 31 20 24 22 29 204 92 40 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2013/00300/13 <20 <20 111 <20 <20 <20 <20 <20 <20 33 <20 22 46 <20 <20 75 74 48 <20 55 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2013/00691/13 22 <20 21 48 <20 <20 23 <20 <20 <20 <20 <20 <20 28 <20 77 89 <20 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2013/00801/13 31 24 147 76 <20 50 25 31 <20 52 30 72 <20 42 60 180 126 65 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2013/01012/13 <20 <20 27 <20 <20 <20 <20 <20 <20 <20 <20 22 20 22 <20 60 55 23 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2014/00214/14 <20 <20 <20 42 37 <20 <20 <20 <20 23 <20 <20 <20 <20 <20 56 49 25 <20 <20 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2014/00555/14 34 40 66 39 20 43 <20 29 <20 53 31 38 50 <20 32 185 85 45 29 28 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2014/00595/14 37 <20 61 <20 <20 28 <20 <20 <20 25 21 42 23 31 35 69 32 <20 <20 21 * * * * * * * * * * * * * * * *
DENV4/THAILAND/2014/00615/14 50 31 74 <20 <20 59 22 24 <20 54 77 74 22 51 28 172 165 28 22 20 * * * * * * * * * * * * * * * *
